userName,at,content,score
Pengguna Google,2025-04-19 01:04:55,"untuk apk ini Bagusss banget!! aku suka, tapi udh 4 hari ini tik tok ku bermasalah kayak setiap pencet logonya itu buat masuk malah keluar, padahal wifi bagus, memori belum penuh sama sekali tapi tetep nggak bisa, terus tiba-tiba ada notifikasi kayak ada bug..ini gimana ya? semoga bug nya hilang soalnya tanpa tik tok saya bosen :v",4
Pengguna Google,2025-04-26 16:02:49,"tiktok sekarang kenapa? bug nya lumayan jelek, suka tiba tib keluar sendiri, loading nya lama bermenit menit, terus klo uda berapa menit, keluar sendiri, terus mati hp nya, tolong dong, lebih di tingkat kan lagi, agar para pengguna nyaman memakai tiktok ini.",1
Pengguna Google,2025-04-10 13:06:40,"maaf bukan bermaksud menjelekan tetapi,aplikasi sudah sangat bagus dan lancar untuk penggunaan wifi atau kuota internet. tapi ada satu yang bikin aneh,yaitu bug,bugnya pas dimana saya live langsung ke luar dari apk,juga pas streak/api saya dan teman saya sudah mendekati 90an malah ke reset jadi 3? gimana ya..mohon dipertimbangkan semaksimalnya ya.:) thx",2
Pengguna Google,2025-04-27 10:25:10,"saya sangat kecewa karena akhir akhir ini lag nya semakin parahhhhhhhhh, tiktok sering bug contohnya vidio patah"", tiba-tiba keluar sendiri pas lagi nonton, loading lamaa, dan sangat lemot pdhl saat buka apk lain tidak lemot, mohon utk cepat diperbaiki karena ini sangat mengganggu para penonton, terimakasih.",5
Pengguna Google,2025-04-12 07:07:10,"apk ny bagus juga sangat menghibur, tpi kenapa setelah update filter tiktok ny tidak bisa di gunakan? tiktok saya jadi mengalami bug setelah update, jadi nya saya ga bisa menggunakan kamera nya, mohon pihak tiktok tolong di perbaiki",4
Pengguna Google,2025-04-11 01:36:47,"apk ini bagus,cuma ada bug yang saya alami seperti tidak bisa Menonton vidio,tetapi bisa memutar foto geser,jika ingin menonton video harus bolak-balik play store update. kadang seperti itu tetapi sudah update tetep gak bisa nonton vidio yang ada di tiktok ini. JADI SAYA MEMINTA TOLONG KEPADA TIKTOK UNTUK MEMPERBAIKI KUALITAS TIKTOK INI YAAAAAA!!!!!!!!!",4
Pengguna Google,2025-04-25 06:52:05,"heran banget download tiktok lama banget padahal sinyal full ,diperbaiki dong ,pengguna baru mau pakai filter juga susah ,malah keluar suruh paka AI dan gak bisa dikembali .apaan banget sih dibenerin dong .buat aplikasi yang bener ,udah banyak yang komplain kok gak berbenah",1
Pengguna Google,2025-04-11 00:15:15,"setelah update terbaru tiktok jadi tidak support resolusi 2k keatas, dan itu sangat menggangu dan mengurangi kualitas video yang saya upload, dimohon untuk Dev atau selaku yang mengatur sistem apk untuk secepatnya mencari kan solusi atau merubah kembali agar upload video bisa diatas 1080p",1
Pengguna Google,2025-04-24 04:37:57,"tiktok ku tbtb lag dan susah keakses awalnya, lalu pas coba download ulang lagi tiktok tbtb berubah jd versi lama, dan setelah di update banyak sekali fitur² yang hilang spt fitur photo dan filter filter menjadi hilang. yang tersimpan hanya filter yang sudah di favorit kan, sblmnya tdk spt ini",1
Pengguna Google,2025-04-26 15:52:10,"gimana ya?jujur apk nya bagus bisa buat hiburan,tapi tiktok banyak bug nya ya lama lama?tolong dong admin kurang kurangin bug nya setiap kali tiktok nya nge bug saya harus hapus tiktok nya lalu donwload lagi selalu seperti itu awalnya 1-5-4 harian baik"" aja tapi kalo udah lebih dari harian itu udah mulai nge bug jadi tolong ya admin",2
